Name,Size,Bet,Market,Time,Price,Entry,Avg,"Market
Trades","Market
Volume","Volume
Conc.","Market
PnL","Total
Trades","Unique
Markets","Trade
Conc.","Open
Positions","O.P.
Value",Tot.PnL,Tot.Vol,"Wallet
Age","WC/TX
Delta","WC/TX
%","Active
Market","Active
Hold",Tx Hash,Polymarket,Profile,Market Link
musonic,$13.0K,No,Will the US confirm that aliens exist before 2027?,38m,0.82,0.82,0.82,3,$13.4K,79.57%,-$83,11,8,27.3%,2,$13.4K,$22.1K,$16.9K,1917d,1917d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-us-confirm-that-aliens-exist-before-2027
aurabot,$1.0K,Yes,Will the Iranian regime fall by March 31?,51m,0.40,0.40,0.40,1,$1.0K,12.31%,-$58,4,2,25.0%,2,$1.1K,$-2.0K,$8.1K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0xFc228A04ac831...,$2.6K,Yes,Will the Iranian regime fall by March 31?,54m,0.40,0.40,0.40,1,$2.6K,4.75%,-$154,16,9,6.3%,5,$2.4K,-$538,$53.8K,46d,45d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
maxmaxwin,$5.0K,Israel,Will US or Israel strike Iran first?,57m,0.69,0.69,0.69,1,$5.0K,10.87%,-$596,9,5,11.1%,2,$7.3K,$14.2K,$46.0K,45d,44d,0.00%,Yes,No,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first
Zougongjin,$2.8K,Yes,Will Iran close the Strait of Hormuz by March 31?,1h,0.63,0.54,0.58,4,$4.5K,37.26%,$311,6,2,66.7%,1,$4.8K,$2.0K,$12.1K,5d,5d,0.00%,Yes,No,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31
0x39fD1AEd55f09...,$1.3K,Yes,Will the Iranian regime fall by June 30?,1h,0.55,0.55,0.55,1,$1.3K,7.81%,-$141,17,7,5.9%,3,$2.8K,$1.3K,$16.7K,24d,24d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
vettfer,$5.0K,Israel,Will US or Israel strike Iran first?,1h,0.70,0.70,0.70,1,$5.0K,6.70%,-$663,7,5,14.3%,4,$34.0K,$4.0K,$74.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first
Zougongjin,$1.4K,Yes,Will Iran close the Strait of Hormuz by March 31?,1h,0.54,0.54,0.58,4,$4.5K,37.26%,$311,6,2,66.7%,1,$4.8K,$2.0K,$12.1K,5d,5d,0.00%,Yes,No,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31
0x9a0a1ca337a25...,$2.0K,No,Will the next Prime Minister of Hungary be Péter Magyar?,1h,0.38,0.46,0.43,3,$3.3K,19.13%,-$310,6,2,50.0%,2,$6.1K,-$872,$17.1K,79d,79d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-next-prime-minister-of-hungary-be-pter-magyar
0xeC5fE39930B0b...,$1.5K,No,US x Iran ceasefire by March 2?,2h,0.82,0.82,0.82,1,$1.5K,8.18%,$129,24,16,4.2%,1,$1.6K,-$26,$18.0K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/us-x-iran-ceasefire-by-march-2
