Name,Size,Bet,Market,Time,Price,Entry,Avg,"Market
Trades","Market
Volume","Volume
Conc.","Market
PnL","Total
Trades","Unique
Markets","Trade
Conc.","Open
Positions","O.P.
Value",Tot.PnL,Tot.Vol,"Wallet
Age","WC/TX
Delta","WC/TX
%","Active
Market","Active
Hold",Tx Hash,Polymarket,Profile,Market Link
0x8173af3E8A50b...,$22.1K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.78,0.78,0.76,2,$24.9K,77.42%,$7.3K,2,1,100.0%,0,$0,$7.3K,$32.1K,215d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
bambooyin,$7.8K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.78,0.78,0.75,2,$10.8K,44.74%,$3.3K,3,2,66.7%,1,$14.1K,$8.3K,$24.1K,259d,43d,83.01%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
0x46617f82716f7...,$37.5K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.83,0.80,0.79,7,$251.5K,53.27%,$25.5K,20,3,35.0%,0,$0,$97.3K,$472.2K,241d,26d,89.21%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
0x46617f82716f7...,$33.1K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.83,0.80,0.79,7,$251.5K,53.27%,$25.5K,20,3,35.0%,0,$0,$97.3K,$472.2K,241d,26d,89.21%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
0x46617f82716f7...,$33.6K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.80,0.80,0.79,7,$251.5K,53.27%,$25.5K,20,3,35.0%,0,$0,$97.3K,$472.2K,241d,26d,89.21%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
mfers,$21.3K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.80,0.80,0.84,3,$24.9K,80.33%,$6.1K,3,1,100.0%,0,$0,$6.1K,$31.0K,215d,0d,100.00%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
Ugabadunga,$10.3K,No,Israel x Hamas ceasefire by August 31?,215d,0.63,0.65,0.64,3,$26.7K,19.91%,$5.4K,20,8,15.0%,1,$16.1K,$11.0K,$134.1K,249d,34d,86.35%,No,No,,,,https://polymarket.com/market/israel-x-hamas-ceasefire-by-august-31
0xB3D0ec79A8f59...,$6.0K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.73,0.73,0.75,7,$7.2K,42.31%,$2.6K,9,2,77.8%,0,$0,$4.8K,$16.9K,236d,21d,91.10%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
0xEd699C5588a52...,$8.2K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.72,0.72,0.69,4,$13.6K,39.98%,$5.9K,7,2,57.1%,1,$19.5K,$10.5K,$34.1K,236d,21d,91.10%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
StrippersOfGaza,$5.2K,Yes,Will MicroStrategy hold 620k+ BTC before August?,215d,0.70,0.70,0.70,1,$5.2K,32.06%,$2.3K,10,3,10.0%,1,$7.5K,$5.4K,$16.3K,251d,36d,85.66%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
greenmistonthel...,$9.1K,No,Israel x Hamas ceasefire by August 15?,215d,0.70,0.70,0.70,1,$9.1K,33.12%,$4.0K,2,2,50.0%,1,$14.0K,$4.8K,$27.6K,215d,0d,100.00%,No,No,,,,https://polymarket.com/market/israel-x-hamas-ceasefire-by-august-15
rockybilboa,$22.1K,Yes,Will MicroStrategy hold 620k+ BTC before August?,216d,0.77,0.77,0.72,2,$22.9K,34.41%,$7.0K,14,6,14.3%,1,$0,$14.9K,$66.5K,236d,20d,91.53%,No,No,,,,https://polymarket.com/market/will-microstrategy-hold-620k-btc-before-august
0x46617f82716f7...,$23.9K,No,Will MicroStrategy purchase Bitcoin July 22-28?,216d,0.45,0.07,0.34,6,$80.8K,17.12%,$30.9K,20,3,30.0%,0,$0,$97.3K,$472.2K,241d,24d,89.63%,No,No,,,,https://polymarket.com/market/will-microstrategy-purchase-bitcoin-july-22-28
0x1guy,$19.0K,Yes,Thailand strikes Cambodia by Friday?,217d,0.33,0.43,0.40,13,$340.1K,69.90%,$142.0K,13,1,100.0%,0,$0,$142.0K,$486.6K,217d,0d,100.00%,No,No,,,,https://polymarket.com/market/thailand-strikes-cambodia-by-friday
0x1guy,$19.4K,Yes,Thailand strikes Cambodia by Friday?,217d,0.56,0.43,0.40,13,$340.1K,69.90%,$142.0K,13,1,100.0%,0,$0,$142.0K,$486.6K,217d,0d,100.00%,No,No,,,,https://polymarket.com/market/thailand-strikes-cambodia-by-friday
