Name,Size,Bet,Market,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Active Market,Active Hold,Tx Hash,Polymarket,Profile,Market Link,Outcome
0xd812877de4EA8...,3400,1,Will the Iranian regime fall by March 31?,41,0.37,0.37,0.37,1,3400,0.0466,-46,24,11,0.042,7,3300,1800,72400,14400,14400,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0xa3E4E8BFD1Bcf...,1600,0,Iran x Israel/US conflict ends by March 15?,60,0.78,0.78,0.85,5,5700,0.3021,-635,9,2,0.556,1,1900,-1100,18700,60,0,0,0,0,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-15,
Theophilus489,1000,1,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.23,0.23,0.23,1,1000,0.0268,5,25,9,0.04,1,1100,10,39100,388800,388800,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
lane79mordecai,2100,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.77,0.77,1,2100,0.054,-3,17,6,0.059,1,2100,-12,38700,24480,24480,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
zebulonlara231,4500,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.21,0.49,4,9500,0.6704,0,4,1,1,0,0,0,14200,508320,508320,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
Lyndon464,4000,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.77,0.77,2,8000,0.768,0,2,1,1,0,0,0,10500,352800,352800,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
Willie797,4000,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.21,0.49,4,9900,0.5121,0,4,1,1,0,0,0,19400,,0,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
elmo242kassie,1800,1,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.23,0.22,0.22,6,7500,0.1756,11,8,2,0.75,0,0,11,42900,506880,506880,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
Shirley724,4200,1,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.23,0.23,0.23,5,8400,0.209,-36,8,2,0.625,0,0,-36,40400,840,0,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
andreskarolina5...,2900,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.77,0.77,3,7400,0.4217,0,5,2,0.6,0,0,-16,17400,354240,354240,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
daysha395hillar...,1600,1,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.23,0.78,0.41,5,11900,0.164,-3,18,6,0.278,0,0,-4,72500,501120,501120,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
