Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
3000,0,360,0.32,0.32,0.33,2,4000,0.3203,-4000,2,1,1,1,44,-4000,12500,360,0,0,1
2000,0,360,0.3,0.2,0.24,6,4900,0.0248,-4400,24,8,0.25,1,282,-7600,196600,N/A,0,0,1
5000,1,420,0.84,0.84,0.84,2,10900,0.2592,902,7,5,0.286,3,8100,5800,42100,54720,54720,0,1
3500,1,420,0.83,0.8,0.81,3,3800,0.2429,660,13,4,0.231,2,5900,3000,15500,15840,14400,0,1
15200,1,660,0.83,0.83,0.83,1,15200,0.1638,-721,13,5,0.077,1,14500,-8400,92700,N/A,0,0,1
5000,1,720,0.89,0.93,0.92,4,20900,0.6863,437,11,5,0.364,1,7100,1600,30400,718560,717120,0,1
2200,1,720,0.83,0.84,0.84,3,4000,0.1711,-205,10,6,0.3,3,8800,3500,23500,N/A,0,0,1
1300,1,780,0.75,0.75,0.75,1,1300,0.256,308,5,4,0.2,3,1600,332,5100,426240,424800,0,1
5400,1,840,0.66,0.66,0.66,1,5400,0.3396,1100,6,5,0.167,2,6500,3500,15900,N/A,0,0,1
5600,1,1080,0.88,0.61,0.75,4,13100,0.3531,84,13,4,0.308,0,0,3700,37100,1440,0,0,1
5000,1,1140,0.83,0.72,0.87,5,72500,0.4949,1500,23,18,0.217,10,3200,4700,146600,66240,64800,0,1
2000,1,1140,0.63,0.63,0.63,1,2000,0.0535,385,10,7,0.1,5,3900,-70,38100,675360,673920,0,1
2500,1,1140,0.9,0.76,0.83,4,8200,0.4445,126,9,3,0.444,1,0,1700,18400,663840,662400,0,1
1200,1,1140,0.87,0.15,0.39,4,2900,0.0947,1100,22,9,0.182,8,1400,150,30300,67680,66240,0,1
1500,1,1140,0.76,0.76,0.83,4,8200,0.4445,126,9,3,0.444,1,0,1700,18400,663840,662400,0,1
2100,1,1140,0.74,0.65,0.68,3,2900,0.4887,1200,4,2,0.75,0,0,1100,5900,N/A,0,0,1
1200,1,1140,0.56,0.56,0.56,1,1200,0.0303,280,10,7,0.1,5,4000,-60,38100,675360,673920,0,1
3100,1,1140,0.9,0.17,0.54,16,8600,0.1713,919,18,2,0.889,1,0,-131,50000,1440,0,0,1
2000,0,1140,0.13,0.3,0.21,4,7900,0.0891,-2200,15,4,0.267,0,0,1300,88400,1362240,1360800,0,1
1100,1,1140,0.88,0.88,0.88,2,2200,0.0084,50,15,6,0.133,4,468,343,265400,20160,18720,0,1
14800,1,1140,0.87,0.87,0.87,1,14800,0.101,2100,23,18,0.043,10,3200,4700,146600,66240,64800,0,1
2200,0,1140,0.12,0.84,0.48,2,3800,0.0928,-3000,22,10,0.091,5,901,-2200,41400,105120,105120,0,1
2700,1,1140,0.76,0.2,0.47,5,5200,0.0542,3000,23,11,0.217,8,8700,692,96400,12960,11520,0,1
1400,1,1140,0.7,0.32,0.61,5,7500,0.0813,-2900,20,10,0.25,6,1900,-4400,92200,N/A,0,0,1
1900,1,1200,0.68,0.68,0.68,2,4600,0.0731,676,7,5,0.286,1,0,-270,62600,77760,76320,0,1
